ticker,risk_measure,expected_exceptions,observed_exceptions,observed_exception_rate,avg_capital_buffer
SPX,VaR,10.11,9,0.008902077151,-3.534020138
SPX,XP,10.11,22,0.02176063304,-2.72479256
EUR,VaR,10.82,13,0.01201478743,-1.163024849
EUR,XP,10.82,31,0.02865064695,-1.201818937
BTC,VaR,19.21,20,0.01041124414,-10.56352385
BTC,XP,19.21,35,0.01821967725,-8.001678496
ETH,VaR,12.43,9,0.007240547064,-13.57734214
ETH,XP,12.43,19,0.01528559936,-10.08605026
BNB,VaR,12.43,13,0.01045856798,-13.24453632
BNB,XP,12.43,16,0.01287208367,-10.67740481
ADA,VaR,12.43,11,0.008849557522,-13.60198166
ADA,XP,12.43,21,0.01689460981,-10.36863747
