ticker,date,window_start,window_end,window_size,garch_omega,garch_alpha1,garch_beta1,garch_gamma,realized_return,sigma,xi,xi_lo,xi_hi,ce,ce_se,ce_lo,ce_hi,ci_level,xp_fixed_tau,xp_fixed,xp_fixed_se,xp_fixed_lo,xp_fixed_hi,xp_fixed_alpha,es_01_alpha,es_01,es_01_se,es_01_lo,es_01_hi,es_01_var,es_01_var_se,var_alpha,var,var_se,var_lo,var_hi,es_alpha,es_var,es_var_se,es,es_se,es_lo,es_hi,tau_alpha,omega_alpha,alpha_tau,exception_var,exception_ce,exception_xp_fixed
BNB,2020-08-06,2017-11-10,2020-08-05,1000,0.869109699,0.1000835534,0.8548246857,0.06974023683,-2.730422695,3.702901705,-2.95176304,-3.637026288,-2.266499792,-10.93008839,1.912156322,-14.67784592,-7.182330869,0.95,0.01,-8.084426916,1.201480918,-10.43928624,-5.729567588,0.02,0.01,-15.7974157,2.757465791,-21.20194934,-10.39288206,-10.93008839,1.786920833,0.01,-10.93008839,1.786920833,-14.43238887,-7.427787916,0.025,-7.825478073,0.9422954261,-11.5301908,1.613232312,-14.69206803,-8.368313571,0.003947078876,252.3519171,0.01,false,false,false
BNB,2020-08-07,2017-11-11,2020-08-06,1000,0.8651338895,0.1000851701,0.8547905662,0.07058068604,-1.759802531,3.719875845,-2.952575524,-3.575249446,-2.329901602,-10.98321437,1.738349718,-14.39031721,-7.576111532,0.95,0.01,-8.005672624,1.090395488,-10.14280851,-5.868536739,0.021,0.01,-15.37111959,2.567837458,-20.40398852,-10.33825065,-10.98321437,1.483834967,0.01,-10.98321437,1.483834967,-13.89147747,-8.074951277,0.025,-7.935549601,0.8627273562,-11.44284292,1.457913639,-14.30030115,-8.585384697,0.003542120246,281.316785,0.01,false,false,false
BNB,2020-08-08,2017-11-12,2020-08-07,1000,0.8568120136,0.09967888726,0.8553721426,0.07048423319,2.507661347,3.631201144,-2.951275893,-3.631566899,-2.270984887,-10.7166764,1.762563617,-14.17123761,-7.262115189,0.95,0.01,-7.89022425,1.077783118,-10.00264034,-5.777808156,0.02,0.01,-15.37806248,2.512784886,-20.30303036,-10.45309461,-10.7166764,1.636647693,0.01,-10.7166764,1.636647693,-13.92444693,-7.508905864,0.025,-7.685419651,0.8105213027,-11.26498379,1.416378227,-14.04103411,-8.488933482,0.003852257132,258.5880715,0.009,false,false,false
BNB,2020-08-09,2017-11-13,2020-08-08,1000,0.8529633509,0.09984418863,0.8554909925,0.07035187238,-1.775348619,3.571243545,-2.8621428,-3.491578711,-2.23270689,-10.221409,1.641027526,-13.43776385,-7.005054153,0.95,0.01,-7.556580043,0.9624226776,-9.442893829,-5.670266257,0.024,0.01,-14.75679567,2.500760404,-19.658196,-9.855395346,-10.221409,1.470505296,0.01,-10.221409,1.470505296,-13.10354642,-7.339271582,0.025,-7.28269849,0.7452607934,-10.81667838,1.391379715,-13.54373251,-8.089624252,0.003919495744,254.1348605,0.01,false,false,false
BNB,2020-08-10,2017-11-14,2020-08-09,1000,0.8496157213,0.1001093906,0.8553289885,0.070734011,0.6132728657,3.504716043,-2.860793235,-3.550253768,-2.171332701,-10.02626794,1.696922235,-13.35217441,-6.700361479,0.95,0.01,-7.448655754,0.9322317145,-9.275796339,-5.621515168,0.024,0.01,-14.48611611,2.429885689,-19.24860455,-9.723627675,-10.02626794,1.392858841,0.01,-10.02626794,1.392858841,-12.75622111,-7.29631478,0.025,-7.431999035,0.7550481697,-10.65353206,1.315135497,-13.23115026,-8.075913847,0.003936797192,253.0135931,0.009,false,false,false
BNB,2020-08-11,2017-11-15,2020-08-10,1000,0.841415402,0.09986786332,0.8556571898,0.07097742663,-6.187652353,3.369837787,-2.860641013,-3.490944326,-2.230337699,-9.639896181,1.553384875,-12.68447459,-6.595317772,0.95,0.01,-7.139992383,0.9145633731,-8.932503656,-5.347481111,0.024,0.01,-13.93984038,2.365153028,-18.57545513,-9.304225628,-9.639896181,1.393333941,0.01,-9.639896181,1.393333941,-12.37078052,-6.909011839,0.025,-6.870406122,0.6998869998,-10.21565566,1.31826801,-12.79941348,-7.631897839,0.003944395183,252.524293,0.01,false,false,false
BNB,2020-08-12,2017-11-16,2020-08-11,1000,0.8621490891,0.1003031469,0.8550136045,0.0701290654,2.299675356,4.145084044,-2.861459469,-3.493557181,-2.229361757,-11.86098999,1.886885388,-15.55921739,-8.162762584,0.95,0.01,-8.76748742,1.100602562,-10.9246288,-6.610346038,0.024,0.01,-17.11184978,2.877272672,-22.75120059,-11.47249897,-11.86098999,1.687398437,0.01,-11.86098999,1.687398437,-15.16823015,-8.553749824,0.025,-8.446982527,0.8232568059,-12.54456016,1.591663186,-15.66416268,-9.424957641,0.003914756416,254.4437349,0.01,false,false,false
BNB,2020-08-13,2017-11-17,2020-08-12,1000,0.8543903772,0.09976546356,0.8557005542,0.06969347363,1.479000274,4.004213273,-2.862404525,-3.555747184,-2.169061866,-11.46167819,1.89692694,-15.17958668,-7.74376971,0.95,0.01,-8.476412282,1.04383195,-10.52228531,-6.430539254,0.023,0.01,-16.54506868,2.717285859,-21.8708511,-11.21928626,-11.46167819,1.575085521,0.01,-11.46167819,1.575085521,-14.54878909,-8.3745673,0.025,-8.171955815,0.7333492644,-12.126869,1.472509579,-15.01293474,-9.240803256,0.003922773435,253.9216814,0.009,false,false,false
BNB,2020-08-14,2017-11-18,2020-08-13,1000,0.8467816504,0.0994167183,0.8563283958,0.06901091683,4.405364154,3.840709908,-2.862878528,-3.494120255,-2.231636801,-10.99548593,1.68934179,-14.30653499,-7.68443686,0.95,0.01,-8.133209557,0.9612260984,-10.01717809,-6.249241023,0.024,0.01,-15.88587572,2.584827015,-20.95204358,-10.81970787,-10.99548593,1.48734023,0.01,-10.99548593,1.48734023,-13.91061921,-8.080352642,0.025,-7.850940648,0.6906831024,-11.64087809,1.385838668,-14.35707197,-8.924684213,0.003929658301,253.4750519,0.01,false,false,false
BNB,2020-08-15,2017-11-19,2020-08-14,1000,0.8562266824,0.1003459723,0.8553236387,0.06933788949,-0.2084564937,3.931716239,-2.861452419,-3.493114384,-2.229790455,-11.25041894,1.706268004,-14.59464278,-7.906195108,0.95,0.01,-8.324803507,0.9634121906,-10.2130567,-6.436550311,0.024,0.01,-16.24985203,2.610856367,-21.36703648,-11.13266758,-11.25041894,1.497603095,0.01,-11.25041894,1.497603095,-14.18566707,-8.315170815,0.025,-8.023379303,0.6705718071,-11.9094761,1.387357691,-14.62864721,-9.190304996,0.003930799347,253.401182,0.01,false,false,false
