model,distribution,persistence,n,tau,scale,replications,valid_wald,bias,bias_mcse,rmse,rmse_mcse,wald_sd,wald_sd_mcse,coverage,coverage_mcse
GARCH,normal,low,500,tau_0p01,xi,10000,9998,-0.009885182840015548,0.0028153322785649487,0.281692650119308,0.06281975440317969,1.1037990028299594,0.009246492023479522,0.9273854770954191,0.002595286592901054
GARCH,normal,low,500,tau_0p01,ce,10000,9998,-0.006322199018631293,0.0029189188233190123,0.29194575024239444,0.049750234054109034,1.0983032720912138,0.009137599591069245,0.9274854970994199,0.0025936384422351544
GARCH,normal,low,500,tau_0p05,xi,10000,9997,-0.005716964680857201,0.0007975477990742144,0.07995544084520825,0.009517981996573511,1.067176175317628,0.009439075893121984,0.9356807042112634,0.0024535766564997637
GARCH,normal,low,500,tau_0p05,ce,10000,9997,-0.004191377565733119,0.0011603396439803578,0.11610384210582256,0.005118142008517411,1.0460906636656448,0.00800291764671532,0.9383815144543363,0.002404974001617646
GARCH,t8,low,500,tau_0p01,xi,10000,9998,-0.00887431290505874,0.00395445733396095,0.395525528579264,0.13576685608272368,1.1293449405250449,0.009553822478717148,0.9184836967393478,0.0027365374625233463
GARCH,t8,low,500,tau_0p01,ce,10000,10000,-0.004940600329329287,0.004360635386854347,0.436069723967969,0.12101880424514631,1.1712890157610176,0.013654234149387792,0.9113,0.0028431023548229845
GARCH,t8,low,500,tau_0p05,xi,10000,9998,-0.007522375335243055,0.0010482097544543894,0.10508531905232173,0.02087992289145367,1.0763406288340438,0.009353306092846174,0.9328865773154631,0.0025024335261342916
GARCH,t8,low,500,tau_0p05,ce,10000,10000,-0.005623923839935949,0.0015591243237713522,0.15600603905123414,0.013487214305396716,1.0710621224142585,0.010274268174915682,0.9347,0.0024705446767868825
GARCH,t4,low,500,tau_0p01,xi,10000,9999,-0.07186403508555964,0.024586566218376283,2.4595837705608616,0.6995905010101373,1.1699193745785874,0.009815949902574863,0.905990599059906,0.002918563884689312
GARCH,t4,low,500,tau_0p01,ce,10000,9999,-0.02108723220538393,0.005856759017797541,0.586026135647054,0.0355078048018222,1.2989487293379447,0.014959224590221542,0.8776877687768777,0.0032766245678274197
GARCH,t4,low,500,tau_0p05,xi,10000,9999,-0.04320904067105056,0.0118123363304627,1.1819646296509123,0.3348607326573575,1.1245650755891132,0.011950729600252893,0.918091809180918,0.002742385089147839
GARCH,t4,low,500,tau_0p05,ce,10000,9999,-0.015000906580344883,0.002432006003689295,0.2436506609160706,0.017884177365337647,1.1066231570858622,0.012109477335897774,0.9271927192719271,0.0025983289228703873
GARCH,normal,high,500,tau_0p01,xi,10000,9991,-0.06572153076475526,0.013073788832611238,1.308964453317479,0.4836745942427237,1.1262348232588395,0.009762088644247052,0.9171254128715844,0.0027581670962486607
GARCH,normal,high,500,tau_0p01,ce,10000,9992,-0.06194743508525335,0.009308482680423604,0.9328608336623916,0.26443715953044145,1.1529218935783245,0.010311527539920647,0.9167333867093675,0.002763953688499105
GARCH,normal,high,500,tau_0p05,xi,10000,9990,-0.024161086163543958,0.00279201847853355,0.2802313946761599,0.10375279337441874,1.0892617221374066,0.00923191416270691,0.9212212212212212,0.0026952797279878775
GARCH,normal,high,500,tau_0p05,ce,10000,9991,-0.024809038084398723,0.002185015793910243,0.21989464357511213,0.05006382805585792,1.1026145412394455,0.00875581548316932,0.9275347813031729,0.002593733946998775
GARCH,t8,high,500,tau_0p01,xi,10000,9993,-0.10643772520347015,0.0196193376955466,1.9647208929142668,0.41184014719655965,1.1374330281084102,0.009271123859145046,0.9174422095466827,0.0027530902315315454
GARCH,t8,high,500,tau_0p01,ce,10000,9993,-0.09959118508354771,0.015714602176340423,1.574534429928802,0.30437757152344475,1.2207831257365083,0.023809616995851577,0.9140398278795157,0.0028040338651828135
GARCH,t8,high,500,tau_0p05,xi,10000,9992,-0.03503428955567066,0.004160101516347906,0.41746202373778346,0.08838179248571357,1.0919743766825143,0.00882645920586098,0.9174339471577262,0.002753353362687747
GARCH,t8,high,500,tau_0p05,ce,10000,9993,-0.035169474150603564,0.0035398301628481,0.355708219377259,0.060558641990374765,1.1370644756605388,0.016006398026551877,0.928049634744321,0.0025849619802683636
GARCH,t4,high,500,tau_0p01,xi,10000,9992,-0.21076916465087542,0.05771824946792058,5.775383576945961,1.706806074214116,1.1594724135765078,0.009865391030702945,0.9127301841473179,0.0028234299911462355
GARCH,t4,high,500,tau_0p01,ce,10000,9994,-0.12918207673868243,0.02823348619744429,2.8261614086637774,1.0419892844719476,1.2963889113137748,0.01447177031851744,0.8878326996197718,0.0031566688843829285
GARCH,t4,high,500,tau_0p05,xi,10000,9995,-0.0819503451830843,0.020983612536121857,2.0998560659582033,0.7590416262615606,1.1178939463488127,0.01036317355688161,0.9069534767383692,0.0029057027258859373
GARCH,t4,high,500,tau_0p05,ce,10000,9996,-0.04398076835886307,0.006435427557402293,0.6450117609186036,0.21932976065520943,1.147147786342406,0.012689786233831185,0.9266706682673069,0.0026072846521498004
GARCH,normal,low,1000,tau_0p01,xi,10000,10000,-0.00026700943453896695,0.000584070180889865,0.0584047080132169,0.0005438577973153574,1.0366042337095087,0.00785563198314874,0.941,0.0023562470159132305
GARCH,normal,low,1000,tau_0p01,ce,10000,10000,0.003263709398757828,0.0011344048573383024,0.11348175504541043,0.001173184434259829,1.0665797438882232,0.008908061946877387,0.9388,0.002396968084893915
