model,distribution,persistence,n,tau,xi_bias,xi_rmse,xi_mc_sd,xi_avg_se,xi_se_sd_ratio,xi_coverage,xi_coverage_mcse,xi_lower_miss,xi_upper_miss,xi_avg_length,xi_valid_fraction,xi_z_mean,xi_z_sd,xi_z_sd_mcse,ce_bias,ce_rmse,ce_mc_sd,ce_avg_se,ce_se_sd_ratio,ce_coverage,ce_coverage_mcse,ce_lower_miss,ce_upper_miss,ce_avg_length,ce_valid_fraction,ce_z_mean,ce_z_sd,ce_z_sd_mcse,sigma_error_sd,xi_sigma_error_correlation,persistence_hat_mean,persistence_hat_p99,near_stationarity_fraction,information_condition_median,information_condition_p99,max_variance_p99,abs_xi_error_p99,abs_ce_error_p99
GARCH,normal,high,500.000000,0.950000,0.114771,1.573532,1.569419,0.124553,0.079362,0.871000,0.003352,0.121600,0.007400,0.488237,1.000000,0.730975,1.115633,0.009956,0.120616,1.465739,1.460841,0.191443,0.131050,0.942400,0.002330,0.036600,0.021000,0.750442,1.000000,0.392994,1.001557,0.008964,0.077949,-0.057714,0.932026,0.998990,0.032100,365.433904,68751.659935,9.260130,0.455407,0.651485
GARCH,normal,high,1000.000000,0.950000,0.033037,0.060122,0.050234,0.046476,0.925190,0.893800,0.003081,0.099800,0.006400,0.182184,1.000000,0.672387,1.035360,0.007874,0.040060,0.097823,0.089249,0.087715,0.982811,0.946100,0.002258,0.038200,0.015700,0.343836,1.000000,0.381828,0.971571,0.008246,0.052009,0.004937,0.966794,0.994898,0.009700,285.178985,2540.931967,10.174030,0.169408,0.297639
GARCH,normal,high,2500.000000,0.950000,0.013280,0.029211,0.026019,0.026262,1.009332,0.925400,0.002627,0.066600,0.008000,0.102944,1.000000,0.492282,0.992186,0.007157,0.016816,0.053413,0.050699,0.049530,0.976927,0.945300,0.002274,0.040900,0.013800,0.194153,1.000000,0.302678,0.973806,0.007251,0.032771,0.010875,0.976339,0.991466,0.000200,247.406037,703.811169,11.021014,0.076667,0.158894
GARCH,normal,high,5000.000000,0.950000,0.006681,0.018660,0.017423,0.017701,1.015941,0.935500,0.002456,0.053400,0.011100,0.069388,1.000000,0.372763,0.988386,0.007012,0.008512,0.035394,0.034357,0.033491,0.974805,0.947500,0.002230,0.037300,0.015200,0.131283,1.000000,0.233591,0.980637,0.007197,0.022757,0.005704,0.978343,0.989167,0.000000,236.065017,456.500052,11.790271,0.047692,0.104642
GARCH,normal,low,500.000000,0.950000,0.050996,0.851956,0.850471,0.076379,0.089808,0.910100,0.002860,0.075100,0.014800,0.299401,1.000000,0.376896,1.167032,0.013634,0.051672,0.910114,0.908691,0.137644,0.151476,0.946400,0.002252,0.026400,0.027200,0.539557,1.000000,0.140100,1.029076,0.008222,0.075280,-0.103595,0.781826,0.995576,0.010800,990.655297,479885689.234720,6.050516,0.368890,0.542565
GARCH,normal,low,1000.000000,0.950000,0.012276,0.051152,0.049659,0.039644,0.798314,0.932100,0.002516,0.052900,0.015000,0.155400,1.000000,0.282381,1.049189,0.009108,0.013089,0.085269,0.084262,0.075966,0.901537,0.942900,0.002320,0.029500,0.027600,0.297780,1.000000,0.101230,1.032096,0.008129,0.051780,-0.021361,0.839083,0.986086,0.002200,982.178381,33628.355335,5.770752,0.120226,0.237527
GARCH,normal,low,2500.000000,0.950000,0.004010,0.024339,0.024008,0.024038,1.001255,0.948500,0.002210,0.035100,0.016400,0.094228,1.000000,0.171908,0.998935,0.007132,0.005140,0.049471,0.049205,0.046128,0.937467,0.944400,0.002291,0.028300,0.027300,0.180820,1.000000,0.076596,1.025841,0.008685,0.033514,0.012953,0.882515,0.968519,0.000200,989.552228,5132.302926,5.707388,0.062848,0.144039
GARCH,normal,low,5000.000000,0.950000,0.001889,0.016788,0.016682,0.016822,1.008396,0.950700,0.002165,0.031300,0.018000,0.065940,1.000000,0.118609,0.993491,0.007071,0.002462,0.033787,0.033698,0.032257,0.957221,0.950000,0.002179,0.026600,0.023400,0.126444,1.000000,0.054626,1.012517,0.007938,0.022692,0.019183,0.893170,0.953292,0.000000,991.035341,2823.990913,5.642341,0.043553,0.095707
GARCH,t4,high,500.000000,0.950000,0.288445,6.388701,6.382505,0.252410,0.039547,0.876100,0.003295,0.117400,0.006500,0.989430,1.000000,0.701953,1.138014,0.011051,0.193169,2.481073,2.473666,3.590690,1.451566,0.940000,0.002375,0.019800,0.040200,14.075246,1.000000,0.161378,1.102184,0.014292,0.177303,-0.083882,0.917002,0.999000,0.099500,202.891870,1037660.566844,81.151273,1.139464,1.318917
GARCH,t4,high,1000.000000,0.950000,0.046790,0.102546,0.091254,0.072437,0.793799,0.883300,0.003211,0.111700,0.005000,0.283948,1.000000,0.649849,1.082972,0.008441,0.047381,0.197025,0.191253,0.151827,0.793857,0.947500,0.002230,0.023400,0.029100,0.595151,1.000000,0.161079,1.037931,0.013223,0.133943,-0.071728,0.959444,0.999000,0.077900,157.896929,2170.923153,121.575556,0.285452,0.723342
