model,distribution,persistence,n,tau,xi_bias,xi_rmse,xi_mc_sd,xi_avg_se,xi_se_sd_ratio,xi_coverage,xi_coverage_mcse,xi_lower_miss,xi_upper_miss,xi_avg_length,xi_valid_fraction,xi_z_mean,xi_z_sd,ce_bias,ce_rmse,ce_mc_sd,ce_avg_se,ce_se_sd_ratio,ce_coverage,ce_coverage_mcse,ce_lower_miss,ce_upper_miss,ce_avg_length,ce_valid_fraction,ce_z_mean,ce_z_sd,sigma_error_sd,xi_sigma_error_correlation,persistence_hat_mean,persistence_hat_p99,near_stationarity_fraction,information_condition_median,information_condition_p99,max_variance_p99,abs_xi_error_p99,abs_ce_error_p99
GARCH,normal,high,500.000000,0.950000,0.084746,0.119057,0.084472,0.074129,0.877556,0.900000,0.042426,0.100000,0.000000,0.290579,1.000000,1.083714,0.999180,0.114687,0.178256,0.137848,0.141974,1.029932,0.960000,0.027713,0.020000,0.020000,0.556529,1.000000,0.687382,0.842509,0.047009,0.139146,0.952267,0.993944,0.020000,335.381005,3584.580848,9.530297,0.304343,0.488429
GARCH,normal,high,5000.000000,0.950000,0.006749,0.018804,0.017730,0.017702,0.998436,0.940000,0.033586,0.060000,0.000000,0.069391,1.000000,0.373408,1.005311,0.007824,0.033791,0.033207,0.036542,1.100426,0.960000,0.027713,0.040000,0.000000,0.143240,1.000000,0.173832,0.911063,0.021240,-0.032572,0.979296,0.987813,0.000000,227.260968,473.099594,11.123404,0.045590,0.092822
GARCH,normal,low,500.000000,0.950000,0.051067,0.104711,0.092342,0.061028,0.660886,0.860000,0.049071,0.140000,0.000000,0.239224,1.000000,0.712053,1.164190,0.080547,0.162256,0.142281,0.111849,0.786111,0.920000,0.038367,0.080000,0.000000,0.438439,1.000000,0.534933,1.005214,0.051859,0.115465,0.821142,0.990136,0.000000,1053.363980,16565.550226,4.871281,0.354211,0.509980
GARCH,normal,low,5000.000000,0.950000,0.001336,0.016445,0.016557,0.016873,1.019105,0.940000,0.033586,0.040000,0.020000,0.066142,1.000000,0.084532,0.981293,0.005593,0.035715,0.035632,0.035337,0.991714,0.960000,0.027713,0.020000,0.020000,0.138519,1.000000,0.096213,1.001539,0.023173,0.095606,0.893076,0.944072,0.000000,1029.039391,2138.407964,5.349994,0.039851,0.104904
GARCH,t4,high,500.000000,0.950000,0.060544,0.115840,0.099762,0.105396,1.056468,0.880000,0.045957,0.120000,0.000000,0.413144,1.000000,0.571633,1.053760,0.006365,0.182680,0.184422,0.174095,0.944002,0.920000,0.038367,0.000000,0.080000,0.682440,1.000000,-0.238438,1.199182,0.131163,-0.044204,0.889349,0.999000,0.080000,301.380242,164031665.872894,94.121575,0.266551,0.497015
GARCH,t4,high,5000.000000,0.950000,0.005873,0.035088,0.034944,0.031789,0.909696,0.900000,0.042426,0.060000,0.040000,0.124610,1.000000,0.263319,1.050965,0.008222,0.067634,0.067814,0.064230,0.947153,0.940000,0.033586,0.000000,0.060000,0.251776,1.000000,-0.037134,0.995817,0.047794,-0.122500,0.977701,0.996219,0.060000,117.518318,202.477762,195.512178,0.088693,0.212655
GARCH,t4,low,500.000000,0.950000,0.047430,0.149786,0.143521,0.099710,0.694743,0.900000,0.042426,0.100000,0.000000,0.390856,1.000000,0.421349,1.129140,0.018145,0.191406,0.192479,0.171478,0.890896,0.960000,0.027713,0.000000,0.040000,0.672183,1.000000,-0.150757,1.050919,0.114623,-0.153652,0.780057,0.995989,0.020000,672.850895,3339379232.850489,69.503591,0.529430,0.551451
GARCH,t4,low,5000.000000,0.950000,0.001945,0.032820,0.033095,0.031157,0.941457,0.900000,0.042426,0.060000,0.040000,0.122134,1.000000,0.149171,1.035635,0.004352,0.063292,0.063783,0.062085,0.973379,0.920000,0.038367,0.020000,0.060000,0.243370,1.000000,-0.051965,1.022194,0.048628,-0.188459,0.886255,0.988370,0.000000,349.780504,1551.395579,155.530838,0.089529,0.175103
GJR-GARCH,normal,high,500.000000,0.950000,0.070754,0.105336,0.078828,0.072857,0.924256,0.900000,0.042426,0.100000,0.000000,0.285596,1.000000,0.936993,1.030585,0.065843,0.176563,0.165490,0.146039,0.882463,0.980000,0.019799,0.020000,0.000000,0.572463,1.000000,0.492524,0.891388,0.103852,0.084426,0.973836,0.999000,0.120000,178.154327,976.698219,33.782529,0.282596,0.592798
GJR-GARCH,normal,high,5000.000000,0.950000,0.004867,0.018229,0.017745,0.017519,0.987239,0.960000,0.027713,0.040000,0.000000,0.068672,1.000000,0.263369,1.012026,0.004596,0.032496,0.032496,0.038334,1.179665,0.960000,0.027713,0.020000,0.020000,0.150267,1.000000,0.123813,0.850545,0.020889,-0.083658,0.979156,0.986357,0.000000,132.325092,171.604612,33.917097,0.042390,0.089597
